Unnamed: 0,authors,published_date,description,isbn_10,isbn_13,page_count,categories,maturity_rating,language,join_isbn_10
,['Ann Louise Gittleman'],1999,"Offers a clear diagnosis of the phase preceding menopause, a survey of popular treatments, and a guide to diet, exercise, and natural alternatives that can help women control their own health",0062515373,9780062515377.0,252.0,['Medical'],NOT_MATURE,en,0062515373
,['Gina Ferris Wilkins'],1996,"Cody's Fiancee by Gina Ferris Wilkins released on Nov 24, 1995 is available now for purchase.",0373240066,9780373240067.0,260.0,['Fiction'],NOT_MATURE,en,0373240066
,['Kitty Kelley'],1978,"She was the definition of White House style for too brief a time. And as a private citizen, we couldn't seem to get enough of her. Here is the inside, outside, upside and downside of our own American princess. Tragic, heroic, private: the image of Jacqueline Kennedy Onassis remains the image of an American icon that will never lose its ability to charm and fascinate.",0345320808,9780345320803.0,442.0,['History'],NOT_MATURE,en,0345320808
,['Jane Olliver'],1992,"A collection of spooky stories from around the world. There are retellings of familiar ghost stories as well as contributions from contemporary writers such as Margaret Mahy, Jan Mark, Ruskin Bond and Grace Hallworth.",0862729734,9780862729738.0,157.0,"[""Children's stories, English""]",NOT_MATURE,en,0862729734
,['R. A. Montgomery'],1982-08,"Readers make choices that determine the outcome of the story when, while exploring the seas for the lost continent of Atlantis, they are separated from their diving vessel.",0553273930,9780553273939.0,117.0,['Adventure stories'],NOT_MATURE,en,0553273930
,,,,,,,,,,1401081274
,['Marilyn D. Anderson'],1989-06,School will never be the same when Sam takes Spud to show off his new trick.,0874064058,9780874064056.0,68.0,['Chewing gum'],NOT_MATURE,en,0874064058
,['Nancy Butcher'],1995,The older Ghostwriter team members' five-day bike ride from Brooklyn to the Catskill Mountains starts out as great fun but they quickly learn that someone is trying to turn their trip into a disaster. Original.,0553482483,9780553482485.0,100.0,['Bicycle touring'],NOT_MATURE,en,0553482483
,['Dave Gustaveson'],1993-06,"""Boys and girls (9-15 years) join Jeff, Mindy, and K.J. on their international adventures as the Reel Kids media club travels around the world. Each well-researched, exciting story is set in a different country, so children not only experience a page-turning adventure but also learn about the people, culture, or history of the nation in which the story takes place. A meaningful series of missionary challenge for young readers who enjoy action! Jeff Caldwell and the Reel Kids face a Cuban jail and an international incident!",0927545608,9780927545600.0,148.0,['Juvenile Fiction'],NOT_MATURE,en,0927545608
,['Neil Humphreys'],2003,"Neil Humphreys is back with more 'Scribbles from the Same Island'. He is not rich, doesn't own an apartment, and doesn't have many expatriate privileges, but nonetheless manages to remain the same funny bloke happily living in the small estate of Toa Payoh in Singapore. One year after his best-selling, 'Notes From An Even Smaller Island' had the whole of Singapore laughing helplessly, Neil Humphreys is still madly in love with his humble but stimulating existence on the sunny island of Singapore. So much, in fact, that he now makes a living poking gentle fun at every oddball aspect of Singaporean life. Expect to find more of his take on SPG, sex, doctors, toilets... all seemingly innocuous subjects but made hilarious through his witty observations. Romance campaigns? Public transport system? Nothing is safe from Neil's humorous scrutiny. Not even the unsuspecting creatures at the zoo, and certainly not the bawdy nightlife at Geylang.",UOM:39015059986524,,224.0,['Singapore'],NOT_MATURE,en,9812325891
,,,,,,,,,,0752859056
,['John L. Allen'],2004,"A guide to the inner workings of the Vatican reveals the beliefs and bureaucracies behind its decision-making processes, offering insight into the career path of the Roman Curia, profiling historical and present-day Vatican leaders, and challenging media-supported myths about the institution's agendas.",0385509669,9780385509664.0,392.0,['History'],NOT_MATURE,en,0385509669
,['Peter Kreeft'],2002-05-16,"Peter Kreeft examines the true nature of the ""culture war"" today, identifies the real enemies facing the church and maps out a strategy for battle.",0830823166,9780830823161.0,124.0,['Religion'],NOT_MATURE,en,0830823166
,['Tony Kushner'],1993,The titles in the boxed set are Angels in America: Millenium Approaches and Angels in America: Perestroika.,UOM:39015063175197,,158.0,['Drama'],NOT_MATURE,en,1559360984
,,,,,,,,,,0425161498
,"['Jason Berry', 'Gerald Renner']",2004-02-24,"Chronicles a legacy of secrecy and cover-ups by the Roman Catholic Church, describing abuses of power that have created tumultuous conflicts between the Church's hierarchy and its followers.",UOM:39015058273254,,376.0,['Religion'],NOT_MATURE,en,0743244419
,"['Gilbert Collection', 'Sarah Coffin', 'Bodo Hofstetter']",2000-07-28,"A scholarly, comprehensive study of the art of enamels in Europe, presenting examples from the seventeenth to the late nineteenth century. Demonstrates the extraordinary quality and scope of these exquisite works. This scholarly book contains comprehensive information on the art of enamels in Europe and England. It also examines the techniques and tools of enamelists and presents an overview of artists, patrons and sitters represented in this fine collection.",UOM:39015049990149,,172.0,['Architecture'],NOT_MATURE,en,085667513X
,,,,,,,,,,0521307813
,['Gail Sheehy'],1982,,PSU:000012696192,,644.0,['Adulthood'],NOT_MATURE,en,0553256017
,,,,,,,,,,0500974829
,"['Cheryle R. Hart', 'Mary Kay Grossman']",2001,"Explains how insulin resistance causes weight gain and how to correct this with the link-and-balance eating method, and includes recipes and tips for eating out.",0809224275,9780809224272.0,240.0,['Health & Fitness'],NOT_MATURE,en,0809224275
,['Desmond Doig'],1976,,UOM:39015008362801,,188.0,['Calcutta (India)'],NOT_MATURE,en,0002115328
,,,,,,,,,,0752516205
,['Eugenie Fraser'],1989-01-01,,1851582681,9781851582686.0,240.0,['British'],NOT_MATURE,en,1851582681
,['Gay'],1990-12,,0851164900,9780851164908.0,,,NOT_MATURE,en,0851164900
,,,,,,,,,,0340193875
,,,,,,,,,,0340721421
,"['Christian Allen', 'Wolfgang Lutz']",2000,"Based on more than 40 years of clinical research, this illuminating book unravels the mysteries of nutrition and shows how a low-carbohydrate/high protein diet can help prevent cancer, diabetes, heart disease, and obesity, as well as increase strength, endurance, and muscle mass.",0658001701,9780658001703.0,260.0,['Health & Fitness'],NOT_MATURE,en,0658001701
,,,,,,,,,,0553106511
,,,,,,,,,,1575726769
,['Clare Boast'],1998,"An introduction to the history, geography, economy, and modern daily life in France.",1575725657,9781575725659.0,32.0,['Juvenile Nonfiction'],NOT_MATURE,en,1575725657
,['Barry Miles'],2001,"The Beat Hotel was home to a host of key figures of the Beat generation in the late 1950s and 1960s. Barry Miles draws his materials from diaries and interviews, providing an account of a defining time and place for some of the 20th century's most daring and notorious authors.",1903809142,9781903809143.0,294.0,['American literature'],NOT_MATURE,en,1903809142
,,,,,,,,,,0307107736
,,,,,,,,,,1575720272
,,,,,,,,,,0434010472
,,,,,,,,,,1575720329
